location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
?,11-07-2016 12:29,-200,-200,-80,-200,-77,-56,-81,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:29,-200,-200,-80,-200,-78,-56,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-81,-200,-74,-63,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-75,-56,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-82,-56,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-81,-62,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-81,-61,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-81,-58,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-80,-58,-200,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-200,-80,-59,-76,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-84,-56,-76,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-80,-56,-76,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-80,-61,-76,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-200,-67,-79,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-77,-200,-73,-73,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-77,-200,-73,-73,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-200,-73,-79,-78,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-200,-78,-200,-70,-69,-78,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-79,-200,-200,-200,-71,-69,-78,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-79,-200,-200,-84,-200,-69,-78,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-79,-200,-200,-84,-200,-69,-76,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-79,-200,-200,-84,-77,-77,-76,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-81,-200,-80,-84,-77,-76,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-200,-200,-80,-84,-77,-69,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-80,-80,-87,-77,-69,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-80,-80,-82,-73,-62,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-80,-80,-87,-74,-63,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-200,-200,-80,-77,-81,-78,-72,-200,-200,-200,-200,-200,-200
?,11-07-2016 12:28,-81,-200,-80,-76,-200,-79,-79,-200,-200,-200,-200,-200,-200
